"discharge.sc","lnlpe.sc","I(lnlpe.sc^2)","lpe_method","discharge.sc:lnlpe.sc","discharge.sc:I(lnlpe.sc^2)","lnlpe.sc:lpe_method","I(lnlpe.sc^2):lpe_method","df","logLik","AICc","delta"
-0.000000668592822601627,0.0000114908543392509,-0.00000375516156830129,,,0.00000499777771991468,,,6,-329.64994338213,675.118068582442,0
-0.000000664870986316189,0.000011542436870595,-0.00000379064320253689,"+",,0.00000496294513518421,,,7,-329.574690647365,678.482714628063,3.36464604562161
-0.000000419164930146696,0.0000118548879915649,-0.00000353200844650264,,0.00000068693602887653,0.00000540663698937743,,,7,-329.607787711138,678.54890875561,3.43084017316824
