"discharge.sc","ln.lpe.sc","lpe_method","size","substrate_shade","discharge.sc:ln.lpe.sc","ln.lpe.sc:lpe_method","ln.lpe.sc:size","df","logLik","AICc","delta"
,0.00000560564095033666,,"+","+",,,,7,-745.772668476886,1507.58170059014,0
,0.00000519513513731367,,"+","+",,,"+",9,-743.793134139181,1508.98249469346,1.40079410332169
,0.0000056441806232538,"+","+","+",,,,8,-745.58772110031,1509.84210886729,2.2604082771511
0.000000170996717071512,0.00000564422761977016,,"+","+",,,,8,-745.646834332962,1509.96033533259,2.37863474245455
,0.00000526349639439569,"+","+","+",,"+",,9,-744.784017659636,1510.96426173437,3.38256114423189
,0.00000531912964317349,"+","+","+",,,"+",10,-743.633265064418,1511.49729935961,3.91559876947008
