"parameter","Estimate","std.error","cross.zero"
"(Intercept)",9.81,0.15,"No"
"lnlpe.sc",1.83,0.18,"No"
"lnlpe.sc:substrate_shadeLight",-0.62,0.19,"No"
"lnlpe.sc:substrate_shadeMedium",-0.62,0.19,"No"
"lpe_methodGround",-0.52,0.08,"No"
"substrate_shadeMedium",0.52,0.15,"No"
"substrate_shadeLight",0.48,0.14,"No"
"water_clarityPt_Turb_Tannic",0.39,0.09,"No"
"lnlpe.sc:lpe_methodGround",0.35,0.09,"No"
"lnlpe.sc:water_clarityPt_Turb_Tannic",-0.11,0.11,"No"
