"parameter","Estimate","std.error"
"(Intercept)",17.3695072584121,0.212312000344281
"Cubelpe.sc",5.37715743184071,0.141725957562717
"Cubedeadvlive.sc",0.980087221562234,0.143033249494383
"Cubelpe.sc:Cubedeadvlive.sc",0.394367078929678,0.130190369515551
