"parameter","Estimate","std.error","cross.zero"
"(Intercept)",11.5364532681842,0.074304256719527,"No"
"lnlpe.sc",0.571817442932173,0.0559749147694851,"No"
"I(lnlpe.sc^2)",-0.200815822925317,0.0619975158468709,"No"
"discharge.sc:I(lnlpe.sc^2)",0.062442957958833,0.0201177768671831,"No"
"discharge.sc",-0.0146889751790475,0.0319253281275277,"Yes"
