"Cubedeadvlive.sc","Cubelpe.sc","large_woody_debris","lnprotract.sc","substrate_shade","Cubedeadvlive.sc:Cubelpe.sc","Cubelpe.sc:large_woody_debris","Cubelpe.sc:lnprotract.sc","Cubelpe.sc:substrate_shade","AICc","delta"
0.168213352659785,0.906039324706967,,,"+",0.0725762172776765,,,,127.304028575166,0
0.165086728916929,0.91266734239189,,,,0.0668185741586437,,,,129.129658183156,1.82562960799062
0.175103938429072,0.900610590321764,,-0.0190712326895352,"+",0.076651786397379,,,,129.481956062857,2.17792748769126
0.170079081760616,0.888955302968577,,,"+",0.0701518537590253,,,"+",129.855374893774,2.55134631860851
0.167637161731803,0.904923406369012,"+",,"+",0.0714247566529779,,,,129.871213123726,2.56718454855998
0.163576337040601,0.911539129451657,"+",,,0.0638697143720905,,,,130.12879649929,2.8247679241246
