"lnlpe.sc","lpe_method","size","substrate_shade","water_clarity","lnlpe.sc:lpe_method","lnlpe.sc:size","lnlpe.sc:substrate_shade","lnlpe.sc:water_clarity","df","logLik","AICc","delta"
1.46595962894391,"+","+","+","+",,"+","+","+",16,-1711.51976366207,3458.79125146207,0
1.34181566843034,"+","+","+","+",,"+","+",,15,-1712.91266122756,3459.112993688,0.321742225928574
1.17970305523083,"+","+","+","+","+","+","+",,16,-1711.79402468911,3459.33977351615,0.548522054079513
1.30914946745885,"+","+","+","+","+","+","+","+",17,-1710.61860444731,3459.48720889461,0.695957432537853
1.08328326177146,"+","+","+","+",,"+",,,13,-1715.65622339057,3459.7719062406,0.980654778522876
0.967292309034829,"+","+","+","+","+","+",,,14,-1715.27926173404,3461.41566632521,2.62441486314128
1.08355996351171,"+","+","+","+",,"+",,"+",14,-1715.65090143816,3462.15894573346,3.36769427138734
