"watershed_group","run_timing_group","CU","gazetted_stream_name","stream_alias","year","size","aggr","lpe_method","water_clarity","lpe","hpe","classic","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate"
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2018,"Medium","SM","Ground","Clear",79666,176923,143398.8,"Stellako_Discharge_Model",11.8197741824649,0.0824491366619356,8.3,125157.102331744,147594.410195449,135913.533911914
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2018,"X-Large","LXL","Aerial","Clear",4520,15177,8136,"All_ROM_GenB_Model",9.16232729976139,0.469651331501426,49.7,5959.10730773604,15244.5696677816,9531.21327589349
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2019,"Medium","SM","Aerial","Clear",24717,46134,44490.6,"All_Systems_Discharge_Model",10.9920559434821,0.0662559808386818,6.6,55592.2989550835,63469.3203681676,59400.3824262365
"Nechako","Early Summer","Francois-Fraser-ES","Nadina River",NA,2019,"Medium","SM","Aerial","Pt_Turb_Tannic",6333,16392,11399.4,"All_Minimal_Model",9.6489316039197,0.123933289492209,12.4,13697.9068356936,17550.9769394793,15505.2135423023
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2019,"Medium","SM","Ground","Clear",22428,46134,40370.4,"Stellako_Discharge_Model",10.5171701741083,0.104262451618803,10.5,33286.5177791668,41004.3167088927,36944.4301235402
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2020,"Medium","SM","Aerial","Clear",20534,44411,36961.2,"All_Minimal_Model",10.8834226673099,0.0492165250402552,4.9,50726.622088458,55973.810593323,53285.6672738404
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2020,"Medium","SM","Ground","Clear",27175,44411,48915,"SM_Data_Model",10.8188051363286,0.0371400695397586,3.7,48130.1975495923,51841.445051962,49951.3662636695
"Nechako","Early Summer","Francois-Fraser-ES","Nadina River",NA,2020,"Medium","SM","Aerial","Pt_Turb_Tannic",9580,13436,17244,"All_Minimal_Model",10.0399349783111,0.107843403494692,10.8,20580.3409193396,25534.3116552366,22923.8923179602
"Lower Fraser","Early Summer","Chilliwack-ES","Chilliwack River (Upper)","Dolly Varden Creek",2020,"Medium","SM","Aerial","Clear",8320,31472,14976,"All_Minimal_Model",10.211123294966,0.0824300785874691,8.3,25051.6060036116,29541.5602692127,27204.1086712331
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2020,"X-Large","LXL","Aerial","Clear",6765,75537,12177,"All_ROM_GenB_Model",9.60132368822367,0.492153828041907,52.4,9037.78914782244,24184.7492272406,14784.3384738297
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2021,"X-Large","LXL","Aerial","Clear",3552,56217,6393.6,"All_ROM_GenB_Model",8.89996258203028,0.456202789991168,48.1,4645.99014449131,11569.9369648879,7331.69919672478
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,2021,"X-Large","LXL","Aerial","Pt_Turb_Tannic",85604,322989,154087.2,"All_ROM_GenB_Model",12.3642717704481,0.633779662093894,70.3,124304.826769036,441552.159028034,234279.885260074
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2021,"Medium","SM","Aerial","Clear",63400,117709,114120,"All_Minimal_Model",11.7223882179625,0.0552424679834055,5.5,116674.787553808,130304.680829205,123301.544811954
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2021,"Medium","SM","Ground","Clear",78924,117709,142063.2,"SM_Data_Model",11.9047436707095,0.0529630727610331,5.3,140334.003279537,156014.892040026,147966.869167397
"Nechako","Early Summer","Francois-Fraser-ES","Nadina River",NA,2021,"Medium","SM","Aerial","Pt_Turb_Tannic",2477,5604,4458.6,"All_Minimal_Model",8.76214285550929,0.176221180030144,17.8,5355.72668316015,7618.72289489637,6387.78502297937
"Harrison-Lillooet","Summer","Harrison River (River-Type)","Harrison River",NA,2022,"X-Large","LXL","Aerial","Clear",11345,31964,20421,"All_ROM_GenB_Model",10.1641693276898,0.521004707884619,55.8,15416.0525641934,43703.0877103222,25956.2920572234
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,2022,"Large","LXL","Aerial","Clear",43660,346210,78588,"All_ROM_Gen_Model",11.8948644374108,0.696911824149249,79.1,72980.8687058926,294129.745901149,146512.266954373
"Late South Thompson","Late","Shuswap Complex-L","Little River",NA,2022,"X-Large","LXL","Aerial","Clear",16274,127898,29293.2,"All_ROM_GenB_Model",10.5569433258688,0.541137892957447,58.3,22377.3694090112,66044.3139260077,38443.4391032719
"Nechako","Early Summer","Francois-Fraser-ES","Nadina River",NA,2022,"Medium","SM","Aerial","Pt_Turb_Tannic",77872,296737,140169.6,"All_Minimal_Model",12.0193916564166,0.150721126844763,15.2,142724.364695243,192935.802546594,165941.676035375
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,2022,"Medium","SM","Aerial","Clear",131349,130425,236428.2,"All_Minimal_Model",12.2644383922991,0.0839736668976378,8.4,194943.436337135,230593.583040028,212020.530786798
